"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","GeositeInfo_ReferenceDatum","GeositeInfo_CoordinateMethod","GeositeInfo_Elevation","GeositeInfo_FarmName","GeositeInfo_FarmNumber","GeositeInfo_Town","GeositeInfo_Portion","GeositeInfo_Village","GeositeInfo_GeositeStatus","GeositeInfo_DateWhenStatusWasObserved","GeositeInfo_MapNumber","GeositeInfo_Province","GeositeInfo_RegistrationDistrict","GeositeInfo_QuaternaryDrainageRegion","GeositeInfo_WaterManagementArea","GeositeInfo_MunicipalDistrictNew","GeositeInfo_HydrogeologicalRegion","GeositeInfo_WaterUserAssociation","GeositeInfo_Geomorphology","GeositeInfo_LandCover","GeositeInfo_TasteOfWater","GeositeInfo_IntendedGeositePurpose","GeositeInfo_ObservedActualWaterUses","GeositeInfo_WaterConsumer","GeositeInfo_SiteSelector"
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1964-10-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1964-10-12","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1964-11-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1964-12-28","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-01-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-02-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-03-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-04-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-06-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-07-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-07-23","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-08-27","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-10-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-10-29","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-11-27","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-12-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1965-12-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-01-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-03-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-04-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-05-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-05-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-07-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-08-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-08-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-09-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-10-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-11-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-11-11","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-11-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1966-12-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-01-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-06-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-06-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-08-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-08-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-09-29","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-11-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1967-12-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-03-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-04-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-05-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-06-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-07-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-07-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-09-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-10-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-11-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-12-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1968-12-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-02-28","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-04-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-05-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-06-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-06-27","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-08-27","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-09-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-11-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-12-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1969-12-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-01-05","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-01-30","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-03-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-03-31","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-05-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-06-02","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-06-26","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-08-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1190","HAZIA PTN. ZEERUST MUNISIPALITEIT","0242 ",,,,"Unused: Abandoned","1970-09-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,"Monitoring",,,
